column,value,count
Gender,Male,1551
Gender,Female,1062
Age,20,393
Age,23,365
Age,22,318
Age,24,281
Age,19,217
Age,21,199
Age,27,184
Age,26,184
Age,18,171
Age,25,157
Age,28,144
University Type,Private University,1445
University Type,Public University,1164
University Type,Other,4
Academic Level,Undergraduate,1587
Academic Level,Postgraduate,1026
Department/Discipline,English,394
Department/Discipline,CSE,289
Department/Discipline,BBA,235
Department/Discipline,EEE,222
Department/Discipline,Economics,215
Department/Discipline,Law,204
Department/Discipline,Pharmacy,175
Department/Discipline,Architecture,168
Department/Discipline,Mathematics,163
Department/Discipline,Civil Engineering,152
Department/Discipline,Software Engineering,50
Department/Discipline,Physics,18
Department/Discipline,Journalism and Media Studies,18
Department/Discipline,Sociology,17
Department/Discipline,Accounting,16
Department/Discipline,Human Resource Management,16
Department/Discipline,Finance,16
Department/Discipline,Mass Communication,16
Department/Discipline,Psychology,16
Department/Discipline,Information Technology,16
Department/Discipline,Chemical Engineering,15
Department/Discipline,Management,15
Department/Discipline,International Business,15
Department/Discipline,Chemistry,15
Department/Discipline,Marketing,14
Department/Discipline,Computer Science and Engineering,14
Department/Discipline,Statistics,14
Department/Discipline,Textile Engineering,14
Department/Discipline,Environmental Science,13
Department/Discipline,Mechanical Engineering,13
Department/Discipline,Industrial and Production Engineering,13
Department/Discipline,Development Studies,12
Department/Discipline,Public Administration,10
Department/Discipline,Electrical and Electronic Engineering,10
Department/Discipline,Political Science,10
AI Usage [I use generative AI tools regularly for academic purposes.],Agree,1034
AI Usage [I use generative AI tools regularly for academic purposes.],Strongly Agree,874
AI Usage [I use generative AI tools regularly for academic purposes.],Neutral,391
AI Usage [I use generative AI tools regularly for academic purposes.],Disagree,211
AI Usage [I use generative AI tools regularly for academic purposes.],Strongly Disagree,103
AI Usage [I use AI tools for assignment writing.],Strongly Agree,965
AI Usage [I use AI tools for assignment writing.],Agree,747
AI Usage [I use AI tools for assignment writing.],Neutral,591
AI Usage [I use AI tools for assignment writing.],Disagree,186
AI Usage [I use AI tools for assignment writing.],Strongly Disagree,124
AI Usage [I use AI tools for study planning.],Agree,851
AI Usage [I use AI tools for study planning.],Strongly Agree,765
AI Usage [I use AI tools for study planning.],Neutral,686
AI Usage [I use AI tools for study planning.],Disagree,205
