feature_set,model,CV_MAE_mean,CV_MAE_sd,CV_RMSE_mean,CV_RMSE_sd,CV_R2_mean,CV_R2_sd,Test_MAE,Test_RMSE,Test_R2,selected_by_cv
A,Random Forest,0.3901209028708339,0.024608605201300617,0.5046524962981164,0.02730201444183627,0.31202840579986924,0.04327320531234672,0.4031932171644758,0.5341252878668981,0.2040144056126516,False
A,Gradient Boosting,0.4343968954739016,0.02117978178965218,0.5382860161523382,0.023775592877090645,0.21727253891331416,0.03578123210819279,0.4331176715719491,0.5427859520132204,0.1779918446061758,False
A,Ridge,0.4747766931022885,0.021873488417232946,0.5892710984002235,0.02407762525344359,0.06198854550098165,0.036107056876502924,0.4605201018100766,0.581541296671204,0.056417127437976666,False
A,Linear Regression,0.47980212291198193,0.02152950757201512,0.5951918901511156,0.02484817469982957,0.043059998174216504,0.0381443977453678,0.46913424733913467,0.5887043077330375,0.03302920910816709,False
A,Dummy,0.48782508058849083,0.020013994432712953,0.6119700303033293,0.018551086683568998,-0.011810660429920183,0.019007839648017097,0.4638089271856137,0.5987145281195112,-0.00013475993746658865,False
B,Gradient Boosting,0.3848537874585758,0.027884890996354578,0.4965451797586361,0.03014721491358581,0.33364093802396244,0.05335765231916559,0.38394735521953427,0.5036365646700337,0.2922930931815807,True
B,Random Forest,0.38097752157931175,0.025868317082552234,0.49892310559055614,0.028709531914210752,0.327177680385237,0.05201145279738427,0.3851734458168261,0.5099615067917387,0.2744059386276908,False
B,Ridge,0.43591913459470993,0.01912602736115252,0.5391901649942342,0.021336931124936242,0.214421926581681,0.03480439342778136,0.4230387112812943,0.5341976487444762,0.2037987179489863,False
B,Linear Regression,0.44017845678121337,0.018617533558007368,0.5441836296593558,0.020876399338097918,0.19974298841517435,0.035634108719975556,0.42640099189011,0.5371899396436774,0.19485394438573211,False
B,Dummy,0.48782508058849083,0.020013994432712953,0.6119700303033293,0.018551086683568998,-0.011810660429920183,0.019007839648017097,0.4638089271856137,0.5987145281195112,-0.00013475993746658865,False
