feature,RMSE_increase_mean,RMSE_increase_sd
Cognitive_Offloading_Index,0.058918397373132536,0.007863305159842623
AI_Trust_Index,0.04195944413303717,0.005979043419947862
Age,0.004146367222805247,0.0020899871948440374
AI Usage [I use AI tools for assignment writing.],0.0021989112012627708,0.0008912803336073315
Department/Discipline,0.002000179487387532,0.001592042195399802
University Type,0.0018565260351257385,0.0008196563616112436
Academic_Decision_Index,0.0015398550415360868,0.0009029212557582586
AI Usage [I use AI tools for study planning.],0.0008075024128507691,0.0007800992553387788
Gender,0.000606557639442179,0.00046735369134764894
AI Usage [I depend on AI tools to complete academic work faster.],0.0005305236536395696,0.00062828339205788
Academic Level,0.0,0.0
AI Usage [I use generative AI tools regularly for academic purposes.],-9.274033056677622e-06,0.00041062134361200757
AI Usage [I use AI tools for research-related tasks.],-3.971963141333745e-05,0.00013478382097386569
