feature,RMSE_increase_mean,RMSE_increase_sd
AI Usage [I use AI tools for assignment writing.],0.036777517643720996,0.010073476584144026
AI Usage [I use generative AI tools regularly for academic purposes.],0.0362418588722076,0.008257097503474807
AI Usage [I depend on AI tools to complete academic work faster.],0.026153194767719067,0.006078447993203485
Age,0.023837434266743746,0.005125639910854665
University Type,0.018653459139937163,0.007031371442723645
AI Usage [I use AI tools for study planning.],0.012991412180672058,0.004923266862907436
Department/Discipline,0.012834695488108621,0.007337906277490973
Gender,0.007999097791568387,0.0029583595414802025
AI Usage [I use AI tools for research-related tasks.],0.00706323846900705,0.003584264293493474
Academic Level,0.0027272621500951445,0.0013108533774587627
