transformed_feature,mean_absolute_SHAP
numeric__Cognitive_Offloading_Index,0.07999022251365241
numeric__AI_Trust_Index,0.06019620913699738
numeric__Age,0.030768607974377193
numeric__AI Usage [I use AI tools for study planning.],0.014012096860976878
categorical__Department/Discipline_EEE,0.010882892225338153
numeric__AI Usage [I use AI tools for assignment writing.],0.010152182584159295
categorical__Department/Discipline_CSE,0.009904808755908176
numeric__Academic_Decision_Index,0.009129412685632707
categorical__University Type_Public University,0.008587662990647381
numeric__AI Usage [I use generative AI tools regularly for academic purposes.],0.008486612413469702
numeric__AI Usage [I depend on AI tools to complete academic work faster.],0.008321745956207162
categorical__Gender_Male,0.005833660337161277
categorical__Department/Discipline_Physics,0.003427788358479746
categorical__Department/Discipline_Law,0.0024029392438195663
categorical__Department/Discipline_Public Administration,0.0015075545642897412
categorical__Department/Discipline_Civil Engineering,0.0013603216880629751
numeric__AI Usage [I use AI tools for research-related tasks.],0.0012193236762937164
categorical__University Type_Private University,0.0007671427746862179
categorical__Department/Discipline_Industrial and Production Engineering,0.0004845577488094557
categorical__Department/Discipline_Pharmacy,0.00018193289618939165
categorical__Department/Discipline_BBA,0.0
categorical__Academic Level_Undergraduate,0.0
categorical__Department/Discipline_Architecture,0.0
categorical__Department/Discipline_Economics,0.0
categorical__Department/Discipline_Electrical and Electronic Engineering,0.0
categorical__Department/Discipline_Environmental Science,0.0
categorical__Department/Discipline_English,0.0
categorical__Department/Discipline_Chemistry,0.0
categorical__Department/Discipline_Computer Science and Engineering,0.0
categorical__Department/Discipline_Development Studies,0.0
categorical__Department/Discipline_Chemical Engineering,0.0
categorical__Department/Discipline_International Business,0.0
categorical__Department/Discipline_Information Technology,0.0
categorical__Department/Discipline_Human Resource Management,0.0
categorical__Department/Discipline_Finance,0.0
categorical__Department/Discipline_Marketing,0.0
categorical__Department/Discipline_Mass Communication,0.0
categorical__Department/Discipline_Management,0.0
categorical__Department/Discipline_Journalism and Media Studies,0.0
categorical__Department/Discipline_Mechanical Engineering,0.0
categorical__Department/Discipline_Mathematics,0.0
categorical__Department/Discipline_Political Science,0.0
categorical__Department/Discipline_Psychology,0.0
categorical__Department/Discipline_Sociology,0.0
categorical__Department/Discipline_Software Engineering,0.0
categorical__Department/Discipline_Statistics,0.0
categorical__Department/Discipline_Textile Engineering,0.0
